timestamp,location_name,location_lat,location_lon,co,no2,o3,pm10,pm25,so2,owm_aqi_index
2026-07-17 11:33:49,Delhi,28.7041,77.1025,0.1173,1.3,84.74,47.94,16.28,1.15,2
2026-07-17 11:33:49,Faridabad,28.4089,77.3178,0.1363,1.82,85.19,47.11,18.08,1.79,2
2026-07-17 11:33:49,Ghaziabad,28.6692,77.4538,0.1369,1.79,88.45,50.07,19.33,1.34,3
2026-07-17 11:33:49,Gurgaon,28.4595,77.0266,0.129,1.59,84.97,46.8,17.34,1.77,2
2026-07-17 11:33:49,Noida,28.5355,77.391,0.1363,1.82,85.19,47.11,18.08,1.79,2
2026-07-17 12:03:56,Delhi,28.7041,77.1025,0.1055,0.89,84.84,51.05,16.15,1.1,3
2026-07-17 12:03:56,Faridabad,28.4089,77.3178,0.1157,1.04,88.03,51.47,17.9,1.41,3
2026-07-17 12:03:56,Ghaziabad,28.6692,77.4538,0.114,1.09,88.39,56.71,18.55,1.29,3
2026-07-17 12:03:56,Gurgaon,28.4595,77.0266,0.129,1.59,84.97,46.8,17.34,1.77,2
2026-07-17 12:03:56,Noida,28.5355,77.391,0.1157,1.04,88.03,51.47,17.9,1.41,3
2026-07-17 12:56:07,Delhi,28.7041,77.1025,0.1055,0.89,84.84,51.05,16.15,1.1,3
2026-07-17 12:56:07,Faridabad,28.4089,77.3178,0.1157,1.04,88.03,51.47,17.9,1.41,3
2026-07-17 12:56:07,Ghaziabad,28.6692,77.4538,0.114,1.09,88.39,56.71,18.55,1.29,3
2026-07-17 12:56:07,Gurgaon,28.4595,77.0266,0.1124,0.96,87.17,49.51,17.1,1.39,2
2026-07-17 12:56:07,Noida,28.5355,77.391,0.1157,1.04,88.03,51.47,17.9,1.41,3
2026-07-18 11:21:27,Delhi,28.7041,77.1025,0.1293,3.25,57.06,43.78,12.21,1.33,2
2026-07-18 11:21:27,Faridabad,28.4089,77.3178,0.125,2.99,60.7,39.69,11.42,1.38,2
2026-07-18 11:21:27,Ghaziabad,28.6692,77.4538,0.1333,3.5,58.22,40.77,11.76,1.4,2
2026-07-18 11:21:27,Gurgaon,28.4595,77.0266,0.1227,2.79,60.87,41.27,11.81,1.39,2
2026-07-18 11:21:27,Noida,28.5355,77.391,0.125,2.99,60.7,39.69,11.42,1.38,2
2026-07-18 11:51:30,Delhi,28.7041,77.1025,0.1293,3.25,57.06,43.78,12.21,1.33,2
2026-07-18 11:51:30,Faridabad,28.4089,77.3178,0.125,2.99,60.7,39.69,11.42,1.38,2
2026-07-18 11:51:30,Ghaziabad,28.6692,77.4538,0.1333,3.5,58.22,40.77,11.76,1.4,2
2026-07-18 11:51:30,Gurgaon,28.4595,77.0266,0.1227,2.79,60.87,41.27,11.81,1.39,2
2026-07-18 11:51:30,Noida,28.5355,77.391,0.125,2.99,60.7,39.69,11.42,1.38,2
2026-07-21 20:53:17,Delhi,28.7041,77.1025,0.4668,20.43,22.74,19.62,15.39,1.44,2
2026-07-21 20:53:17,Faridabad,28.4089,77.3178,0.4046,19,20.92,20.13,14.7,1.64,2
2026-07-21 20:53:17,Ghaziabad,28.6692,77.4538,0.429,21.04,16.13,21.26,15.19,2.06,2
2026-07-21 20:53:17,Gurgaon,28.4595,77.0266,0.4336,20.11,21.18,21.69,16.21,1.53,2
2026-07-21 20:53:17,Noida,28.5355,77.391,0.4046,19,20.92,20.13,14.7,1.64,2
2026-07-21 21:16:44,Delhi,28.7041,77.1025,0.4655,20.23,20.02,20.38,15.59,1.57,2
2026-07-21 21:16:44,Faridabad,28.4089,77.3178,0.4158,19.42,17.96,21.57,15.59,1.75,2
2026-07-21 21:16:44,Ghaziabad,28.6692,77.4538,0.4311,20.89,14.39,21.95,15.71,2.15,2
2026-07-21 21:16:44,Gurgaon,28.4595,77.0266,0.4466,20.68,17.66,23.36,17.1,1.65,2
2026-07-21 21:16:44,Noida,28.5355,77.391,0.4158,19.42,17.96,21.57,15.59,1.75,2
2026-07-21 21:52:56,Delhi,28.7041,77.1025,0.4655,20.23,20.02,20.38,15.59,1.57,2
2026-07-21 21:52:56,Faridabad,28.4089,77.3178,0.4158,19.42,17.96,21.57,15.59,1.75,2
2026-07-21 21:52:56,Ghaziabad,28.6692,77.4538,0.4311,20.89,14.39,21.95,15.71,2.15,2
2026-07-21 21:52:56,Gurgaon,28.4595,77.0266,0.4466,20.68,17.66,23.36,17.1,1.65,2
2026-07-21 21:52:56,Noida,28.5355,77.391,0.4158,19.42,17.96,21.57,15.59,1.75,2
2026-07-21 22:23:06,Delhi,28.7041,77.1025,0.471,20.51,16.77,21.68,16.38,1.66,2
2026-07-21 22:23:06,Faridabad,28.4089,77.3178,0.4267,19.76,15.41,22.73,16.57,1.8,2
2026-07-21 22:23:06,Ghaziabad,28.6692,77.4538,0.4251,20.16,13.88,21.7,16,2.15,2
2026-07-21 22:23:06,Gurgaon,28.4595,77.0266,0.4601,21.17,14.53,24.84,18.14,1.69,2
2026-07-21 22:23:06,Noida,28.5355,77.391,0.4267,19.76,15.41,22.73,16.57,1.8,2
2026-07-21 22:53:47,Delhi,28.7041,77.1025,0.471,20.51,16.77,21.68,16.38,1.66,2
2026-07-21 22:53:47,Faridabad,28.4089,77.3178,0.4267,19.76,15.41,22.73,16.57,1.8,2
2026-07-21 22:53:47,Ghaziabad,28.6692,77.4538,0.4251,20.16,13.88,21.7,16,2.15,2
2026-07-21 22:53:47,Gurgaon,28.4595,77.0266,0.4601,21.17,14.53,24.84,18.14,1.69,2
2026-07-21 22:53:47,Noida,28.5355,77.391,0.4267,19.76,15.41,22.73,16.57,1.8,2
2026-07-21 23:23:54,Delhi,28.7041,77.1025,0.4679,20.23,14.61,22,16.74,1.55,2
2026-07-21 23:23:54,Faridabad,28.4089,77.3178,0.4296,19.76,13.78,22.8,17.11,1.7,2
2026-07-21 23:23:54,Ghaziabad,28.6692,77.4538,0.413,19.12,14.3,20.83,15.95,2.03,2
2026-07-21 23:23:54,Gurgaon,28.4595,77.0266,0.4627,21.17,12.6,24.88,18.62,1.55,2
2026-07-21 23:23:54,Noida,28.5355,77.391,0.4296,19.76,13.78,22.8,17.11,1.7,2
2026-07-21 23:56:23,Delhi,28.7041,77.1025,0.4679,20.23,14.61,22,16.74,1.55,2
2026-07-21 23:56:23,Faridabad,28.4089,77.3178,0.4296,19.76,13.78,22.8,17.11,1.7,2
2026-07-21 23:56:23,Ghaziabad,28.6692,77.4538,0.413,19.12,14.3,20.83,15.95,2.03,2
2026-07-21 23:56:23,Gurgaon,28.4595,77.0266,0.4627,21.17,12.6,24.88,18.62,1.55,2
2026-07-21 23:56:23,Noida,28.5355,77.391,0.4296,19.76,13.78,22.8,17.11,1.7,2
2026-07-22 00:26:31,Delhi,28.7041,77.1025,0.4492,18.92,13.48,20.93,16.31,1.3,2
2026-07-22 00:26:31,Faridabad,28.4089,77.3178,0.4149,18.43,13.72,21.36,16.78,1.45,2
2026-07-22 00:26:31,Ghaziabad,28.6692,77.4538,0.3975,17.49,15.25,19.19,15.36,1.75,2
2026-07-22 00:26:31,Gurgaon,28.4595,77.0266,0.4405,19.47,12.78,23.04,17.98,1.28,2
2026-07-22 00:26:31,Noida,28.5355,77.391,0.4149,18.43,13.72,21.36,16.78,1.45,2
2026-07-22 00:56:53,Delhi,28.7041,77.1025,0.4492,18.92,13.48,20.93,16.31,1.3,2
2026-07-22 00:56:53,Faridabad,28.4089,77.3178,0.4149,18.43,13.72,21.36,16.78,1.45,2
2026-07-22 00:56:53,Ghaziabad,28.6692,77.4538,0.3975,17.49,15.25,19.19,15.36,1.75,2
2026-07-22 00:56:53,Gurgaon,28.4595,77.0266,0.4405,19.47,12.78,23.04,17.98,1.28,2
